"ACAD_CAREER","ZIP_CODE","HEADCOUNT"
"UGRD","34396",1
"UGRD","34652",1
"UGRD","35023",1
"UGRD","35749",1
"UGRD","35803",1
"UGRD","36527",1
"UGRD","36856",1
"UGRD","37066",1
"UGRD","37079",1
"UGRD","37127",1
"UGRD","37128",2
"UGRD","37130",1
"UGRD","37207",1
"UGRD","37365",1
"UGRD","37540",1
"UGRD","37643",1
"UGRD","38114",1
"UGRD","38478",1
"UGRD","39047",1
"UGRD","39110",1
"UGRD","39304",1
"UGRD","39531",1
"UGRD","39556",1
"UGRD","39560",1
"UGRD","39562",1
"UGRD","39581",1
"UGRD","40036",1
"UGRD","40121",1
"UGRD","40311",1
"UGRD","40403",1
"UGRD","40508",1
"UGRD","41000",1
"UGRD","41100",1
"UGRD","41250",1
"UGRD","42000",1
"UGRD","42081",1
"UGRD","42104",1
"UGRD","42170",1
"UGRD","42391",1
"UGRD","42749",1
"UGRD","42764",1
"UGRD","43017",2
"UGRD","43138",1
"UGRD","43607",1
"UGRD","44-35",1
"UGRD","44094",2
"UGRD","44128",1
"UGRD","44130",1
"UGRD","44138",1
"UGRD","44241",1
"UGRD","44460",1
"UGRD","44504",1
"UGRD","44889",1
"UGRD","45152",1
"UGRD","45244",1
"UGRD","45365",1
"UGRD","46219",1
"UGRD","463-0",1
"UGRD","46350",1
"UGRD","46394",2
"UGRD","46408",1
"UGRD","46544",1
"UGRD","46637",1
"UGRD","47342",1
"UGRD","47520",1
"UGRD","48108",1
"UGRD","48114",1
"UGRD","48116",1
"UGRD","48127",1
"UGRD","48168",1
"UGRD","48178",2
"UGRD","48185",1
"UGRD","48187",1
"UGRD","48188",1
"UGRD","48205",1
"UGRD","48214",1
"UGRD","48323",1
"UGRD","48813",1
"UGRD","49525",1
"UGRD","50203",1
"UGRD","50263",1
"UGRD","50314",1
"UGRD","50317",1
"UGRD","50613",1
"UGRD","51000",1
"UGRD","51022",1
"UGRD","51108",1
"UGRD","51148",1
"UGRD","51382",1
"UGRD","51800",1
"UGRD","51805",1
"UGRD","51908",1
"UGRD","52162",1
"UGRD","52748",1
"UGRD","53-62",1
"UGRD","53012",1
"UGRD","53029",1
"UGRD","53037",1
"UGRD","53045",1
"UGRD","53070",1
"UGRD","53129",1
"UGRD","53132",1
"UGRD","53140",1
"UGRD","53213",1
